CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
b31F.	DIUR_LOOP	Furosemide	20	FRUSOL sf oral soln 20mg/5ml
b31g.	DIUR_LOOP	Furosemide	40	FRUSID tabs 40mg
b31G.	DIUR_LOOP	Furosemide	40	Frusol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
b31h.	DIUR_LOOP	Furosemide	20	LASIX TAB 20
b31H.	DIUR_LOOP	Furosemide	50	FRUSOL sf oral soln 50mg/5ml
b31i.	DIUR_LOOP	Furosemide	40	LASIX tabs 40mg
b31k.	DIUR_LOOP	Furosemide	1	LASIX paed sf liq 1mg/ml
b31l.	DIUR_LOOP	Furosemide	20	LASIX inj 20mg/2ml
b31r.	DIUR_LOOP	Furosemide	20	FUROSEMIDE sf oral soln 20mg/5ml
b31s.	DIUR_LOOP	Furosemide	40	FUROSEMIDE sf oral soln 40mg/5ml
b31t.	DIUR_LOOP	Furosemide	50	FUROSEMIDE sf oral soln 50mg/5ml
b31x.	DIUR_LOOP	Furosemide	1	FRUSEMIDE paed liq 1mg/ml
b31y.	DIUR_LOOP	Furosemide	20	Furosemide 20mg/2ml solution for injection ampoules
b31z.	DIUR_LOOP	Furosemide	10	FUROSEMIDE inj 10mg/ml
b321.	DIUR_LOOP	Bumetanide	1	BURINEX TABLETS 1 MG
b322.	DIUR_LOOP	Bumetanide	5	BURINEX 5mg tabs
b32u.	DIUR_LOOP	Bumetanide	1	BUMETANIDE TABLETS 1 MG
b32v.	DIUR_LOOP	Bumetanide	5	Bumetanide 5mg tablets
b32w.	DIUR_LOOP	Bumetanide	1	BUMETANIDE sf liq 1mg/5ml
b32z.	DIUR_LOOP	Bumetanide	0.5	BUMETANIDE inj 0.5mg/ml
b341.	DIUR_LOOP	Piretanide	6	ARELIX CAP 6mg
b34z.	DIUR_LOOP	Piretanide	6	PIRETANIDE CAPS 6MG
b351.	DIUR_LOOP	Torasemide	2.5	TOREM 2.5 TAB 2.5
b352.	DIUR_LOOP	Torasemide	5	TOREM 5 TAB 5
b353.	DIUR_LOOP	Torasemide	10	TOREM 10 TAB 10
b356.	DIUR_LOOP	Torasemide	2.5	Torasemide 2.5mg tablets
b357.	DIUR_LOOP	Torasemide	5	TORASEMIDE tabs 5mg
b358.	DIUR_LOOP	Torasemide	10	TORASEMIDE tabs 10mg
b413.	DIUR_POT	Amiloride	5	AMILORIDE HCl sf soln 5mg/5ml
b41z.	DIUR_POT	Amiloride	5	Amiloride 5mg tablets
b431.	DIUR_POT	Spironolactone	25	Spironolactone Tablets 25 mg
b432.	DIUR_POT	Spironolactone	50	Spironolactone 50mg tablets
b433.	DIUR_POT	Spironolactone	100	Spironolactone 100mg tablets
b434.	DIUR_POT	Spironolactone	25	ALDACTONE FC tab 25mg
b435.	DIUR_POT	Spironolactone	50	aldactone 50mg tablets
b436.	DIUR_POT	Spironolactone	100	ALDACTONE 100mg
b43j.	DIUR_POT	Spironolactone	100	SPIROSPARE tabs 100mg
b43k.	DIUR_POT	Spironolactone	5	SPIRONOLACTONE sf susp 5mg/5ml
b43l.	DIUR_POT	Spironolactone	10	SPIRONOLACTONE sf susp 10mg/5ml
b43m.	DIUR_POT	Spironolactone	25	SPIRONOLACTONE sf susp 25mg/5ml
b43n.	DIUR_POT	Spironolactone	50	SPIRONOLACTONE sf susp 50mg/5ml
b43z.	DIUR_POT	Spironolactone	100	SPIRONOLACTONE caps 100mg
b441.	DIUR_POT	Triamterene		*DYTAC, CA *
b44z.	DIUR_POT	Triamterene	50	TRIAMTERENE 50mg caps
b451.	DIUR_POT	Eplerenone	25	INSPRA FC tab 25mg
b452.	DIUR_POT	Eplerenone	50	INSPRA FC tab 50mg
b45y.	DIUR_POT	Eplerenone	50	Eplerenone 50mg tablets
b45z.	DIUR_POT	Eplerenone	25	Eplerenone 25mg tablets
b511.	DIUR_POT	Spironolactone	25	ALDACTIDE FC tab 25mg + 25mg
b511.	DIUR_THI	Hydroflumethiazide	25	ALDACTIDE FC tab 25mg + 25mg
b512.	DIUR_POT	Spironolactone	50	ALDACTIDE FC tab 50mg + 50mg
b512.	DIUR_THI	Hydroflumethiazide	50	ALDACTIDE FC tab 50mg + 50mg
b513.	DIUR_POT	Amiloride	5	AMIL-CO tabs 5mg + 50mg
b513.	DIUR_THI	Hydrochlorothiazide	50	AMIL-CO tabs 5mg + 50mg
b514.	DIUR_POT	Triamterene	50	DYAZIDE TAB
b514.	DIUR_THI	Hydrochlorothiazide	25	DYAZIDE TAB
b516.	DIUR_POT	Amiloride	5	FRUMIL tabs 40mg + 5mg
b516.	DIUR_LOOP	Furosemide	40	FRUMIL tabs 40mg + 5mg
b518.	DIUR_POT	Triamterene	50	Kalspare tablets (DHP Healthcare Ltd)
b518.	DIUR_THI	Chlortalidone	50	Kalspare tablets (DHP Healthcare Ltd)
b519.	DIUR_POT	Spironolactone	50	Lasilactone 20mg/50mg capsules (Sanofi)
b519.	DIUR_LOOP	Furosemide	20	Lasilactone 20mg/50mg capsules (Sanofi)
b51a.	DIUR_POT	Amiloride	2.5	MODURET 25 tabs
b51a.	DIUR_THI	Hydrochlorothiazide	25	MODURET 25 tabs
b51A.	DIUR_POT	Triamterene	50	CO-TRIAMTERZID (triamtere & hydrochlorothiazid tab 50mg+25mg
b51A.	DIUR_THI	Hydrochlorothiazide	25	CO-TRIAMTERZID (triamtere & hydrochlorothiazid tab 50mg+25mg
b51b.	DIUR_POT	Amiloride	5	Moduretic 5mg/50mg tablets (Merck Sharp & Dohme Ltd)
b51b.	DIUR_THI	Hydrochlorothiazide	50	Moduretic 5mg/50mg tablets (Merck Sharp & Dohme Ltd)
b51B.	DIUR_POT	Amiloride	5	FRU-CO tabs 5mg + 40mg
b51B.	DIUR_LOOP	Furosemide	40	FRU-CO tabs 5mg + 40mg
b51c.	DIUR_POT	Amiloride	5	moduretic solution
b51c.	DIUR_THI	Hydrochlorothiazide	50	moduretic solution
b51C.	DIUR_POT	Amiloride	2.5	CYCLOPENTHIAZIDE + AMILORIDE tabs 250micrograms + 2.5mg
b51C.	DIUR_THI	Cyclopenthiazide	0.25	CYCLOPENTHIAZIDE + AMILORIDE tabs 250micrograms + 2.5mg
b51D.	DIUR_POT	Amiloride	5	AMILORIDE HCl + BUMETANIDE tabs 5mg + 1mg
b51D.	DIUR_LOOP	Bumetanide	1	AMILORIDE HCl + BUMETANIDE tabs 5mg + 1mg
b51f.	DIUR_POT	Triamterene	50	TRIAM-CO tabs 50mg+25mg
b51f.	DIUR_THI	Hydrochlorothiazide	25	TRIAM-CO tabs 50mg+25mg
b51G.	DIUR_POT	Triamterene	50	Triamterene 50mg / Chlortalidone 50mg tablets
b51G.	DIUR_THI	Chlortalidone	50	Triamterene 50mg / Chlortalidone 50mg tablets
b51h.	DIUR_POT	Amiloride	5	LASORIDE CALENDAR PACK TAB
b51h.	DIUR_LOOP	Furosemide	40	LASORIDE CALENDAR PACK TAB
b51H.	DIUR_LOOP	Furosemide	40	FRUSEMIDE + TRIAMTERENE tabs 40mg + 50mg
b51H.	DIUR_POT	Triamterene	50	FRUSEMIDE + TRIAMTERENE tabs 40mg + 50mg
b51j.	DIUR_POT	Amiloride	2.5	CO-AMILOZIDE tabs 2.5mg+25mg
b51j.	DIUR_THI	Hydrochlorothiazide	25	CO-AMILOZIDE tabs 2.5mg+25mg
b51J.	DIUR_POT	Spironolactone	50	SPIRONOLACTONE + FUROSEMIDE caps 50mg + 20mg
b51J.	DIUR_LOOP	Furosemide	20	SPIRONOLACTONE + FUROSEMIDE caps 50mg + 20mg
b51k.	DIUR_POT	Amiloride	5	CO-AMILOZIDE tabs 5mg+50mg
b51k.	DIUR_THI	Hydrochlorothiazide	50	CO-AMILOZIDE tabs 5mg+50mg
b51l.	DIUR_POT	Amiloride	5	AMILORIDE 5MG/HYDROC MIX
b51l.	DIUR_THI	Hydrochlorothiazide	50	AMILORIDE 5MG/HYDROC MIX
b51n.	DIUR_POT	Triamterene	50	FRUSENE TAB
b51n.	DIUR_LOOP	Furosemide	40	FRUSENE TAB
b51o.	DIUR_POT	Amiloride	2.5	FRUMIL LS tablets 20mg + 2.5mg
b51o.	DIUR_LOOP	Furosemide	20	FRUMIL LS tablets 20mg + 2.5mg
b51p.	DIUR_POT	Spironolactone	25	CO-FLUMACTONE tabs 25mg+25mg
b51p.	DIUR_THI	Hydroflumethiazide	25	CO-FLUMACTONE tabs 25mg+25mg
b51q.	DIUR_POT	Spironolactone	50	CO-FLUMACTONE tabs 50mg+50mg
b51q.	DIUR_THI	Hydroflumethiazide	50	CO-FLUMACTONE tabs 50mg+50mg
b51r.	DIUR_POT	Amiloride	2.5	NAVISPARE 2.5/0.25mg tablets
b51r.	DIUR_THI	Cyclopenthiazide	0.25	NAVISPARE 2.5/0.25mg tablets
b51t.	DIUR_POT	Amiloride	5	BURINEX A 1mg\5mg tab
b51t.	DIUR_LOOP	Bumetanide	1	BURINEX A 1mg\5mg tab
b51x.	DIUR_POT	Amiloride	2.5	CO-AMILOFRUSE (amiloride & furosemide) tabs 2.5mg+20mg
b51x.	DIUR_LOOP	Furosemide	20	CO-AMILOFRUSE (amiloride & furosemide) tabs 2.5mg+20mg
b51y.	DIUR_POT	Amiloride	5	CO-AMILOFRUSE (amiloride & furosemide) tabs 5mg+40mg
b51y.	DIUR_LOOP	Furosemide	40	CO-AMILOFRUSE (amiloride & furosemide) tabs 5mg+40mg
b51z.	DIUR_POT	Amiloride	10	CO-AMILOFRUSE tabs 10mg+80mg
b51z.	DIUR_LOOP	Furosemide	80	CO-AMILOFRUSE tabs 10mg+80mg
bA11.	ACEI	Ramipril	2.5	TRIAPIN MITE mr tab 2.5mg + 2.5mg
bA11.	CCB	Felodipine	2.5	TRIAPIN MITE mr tab 2.5mg + 2.5mg
bA1y.	ACEI	Ramipril	2.5	RAMIPRIL + FELODIPINE mr tab 2.5mg + 2.5mg
bA1y.	CCB	Felodipine	2.5	RAMIPRIL + FELODIPINE mr tab 2.5mg + 2.5mg
bA1z.	ACEI	Ramipril	5	FELODIPINE + RAMIPRIL mr tab 5mg + 5mg
bA1z.	CCB	Felodipine	5	FELODIPINE + RAMIPRIL mr tab 5mg + 5mg
bb31.	CCB	Verapamil	40	VERAPAMIL HCl tabs 40mg
bb32.	CCB	Verapamil	80	VERAPAMIL HCl tabs 80mg
bb33.	CCB	Verapamil	120	VERAPAMIL HCl tabs 120mg
bb38.	CCB	Verapamil	40	cordilox 40mg tablets
bb3a.	CCB	Verapamil	120	CORDILOX TAB 120mg
bb3A.	CCB	Verapamil	240	VERAPAMIL HCl mr tab 240mg
bb3b.	CCB	Verapamil	160	CORDILOX 160 TAB 160mg
bb3B.	CCB	Verapamil	120	HALF SECURON SR tablets 120mg
bb3C.	CCB	Verapamil	120	VERAPAMIL HCl mr tab 120mg
bb3d.	CCB	Verapamil	40	SECURON TAB 40
bb3D.	CCB	Verapamil	40	VERAPAMIL HCl sf soln 40mg/5ml
bb3e.	CCB	Verapamil	80	SECURON TAB 80
bb3f.	CCB	Verapamil	120	SECURON TAB 120
bb3F.	CCB	Verapamil	120	HALF SECURON SR tabs 120mg
bb3g.	CCB	Verapamil	120	SECURON tabs 120mg
bb3i.	CCB	Verapamil	160	SECURON TAB 160
bb3j.	CCB	Verapamil	240	Securon SR 240mg tablets (Abbott Laboratories Ltd)
bb3k.	CCB	Verapamil	240	SECURON SR tablets 240mg
bb3K.	CCB	Verapamil	240	VERAPRESS MR tabs 240mg
bb3l.	CCB	Verapamil	120	UNIVER sr cap 120mg
bb3m.	CCB	Verapamil	180	UNIVER sr cap 180mg
bb3M.	CCB	Verapamil	240	CORDILOX MR tabs 240mg
bb3n.	CCB	Verapamil	240	UNIVER sr cap 240mg
bb3P.	CCB	Verapamil	240	VERA-TIL SR tablets 240mg
bb3Q.	CCB	Verapamil	120	VERA-TIL SR tablets 120mg
bb3s.	CCB	Verapamil	240	VERTAB SR tablets 240mg
bb3v.	CCB	Verapamil	120	VERAPAMIL HCl mr cap 120mg
bb3w.	CCB	Verapamil	160	VERAPAMIL HCl tabs 160mg
bb3y.	CCB	Verapamil	240	VERAPAMIL HCl mr cap 240mg
bb3z.	CCB	Verapamil	180	VERAPAMIL HCl mr cap 180mg
bd11.	BB	Propranolol	10	PROPRANOLOL tabs 10mg
bd12.	BB	Propranolol	40	PROPRANOLOL tabs 40mg
bd13.	BB	Propranolol	80	PROPRANOLOL tabs 80mg
bd14.	BB	Propranolol	160	PROPRANOLOL tabs 160mg
bd1g.	BB	Propranolol	160	BEDRANOL mr cap 160mg
bd1J.	BB	Propranolol	50	PROPRANOLOL oral soln 50mg/5ml
bd1K.	BB	Propranolol	80	HALF-BETADUR CR CAP 80
bd1l.	BB	Propranolol	80	HALF-INDERAL LA caps 80mg
bd1L.	BB	Propranolol	80	HALF BETA-PROGRANE sr cap 80mg
bd1m.	BB	Propranolol	10	INDERAL TAB 10
bd1n.	BB	Propranolol	40	INDERAL TAB 40
bd1o.	BB	Propranolol	80	INDERAL 80mg
bd1p.	BB	Propranolol	160	inderal 160mg tablets
bd1Q.	BB	Propranolol	40	PROPRANOLOL oral soln 40mg/5ml
bd1r.	BB	Propranolol	160	INDERAL LA CAPS 160MG
bd1W.	BB	Propranolol	5	PROPRANOLOL oral soln 5mg/5ml
bd1x.	BB	Propranolol	160	PROPRANOLOL mr cap 160mg
bd1X.	BB	Propranolol	10	PROPRANOLOL oral soln 10mg/5ml
bd1y.	BB	Propranolol	80	PROPRANOLOL mr cap 80mg
bd1Y.	BB	Propranolol	50	Propranolol 50mg/5ml oral solution sugar free
bd1z.	BB	Propranolol	10	Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
bd1Z.	BB	Propranolol	5	Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
bd21.	BB	Acebutolol	100	SECTRAL 100mg caps
bd22.	BB	Acebutolol	200	SECTRAL 200 CAP 200
bd23.	BB	Acebutolol	400	SECTRAL 400 TAB 400mg
bd2w.	BB	Acebutolol	100	ACEBUTOLOL HCl caps 100mg
bd2x.	BB	Acebutolol	200	ACEBUTOLOL HCl caps 200mg
bd2y.	BB	Acebutolol	400	ACEBUTOLOL HCl tabs 400mg
bd31.	BB	Atenolol	100	TENORMIN tabs 100mg
bd32.	BB	Atenolol	25	TENORMIN sf syrp 25mg/5ml
bd34.	BB	Atenolol	50	TENORMIN LS tablets 50mg
bd35.	BB	Atenolol	50	Atenolol 50mg tablets
bd36.	BB	Atenolol	100	ATENOLOL tabs 100mg
bd38.	BB	Atenolol	50	Beta-Adalat modified-release capsules (Bayer Plc)
bd38.	CCB	Nifedipine	20	Beta-Adalat modified-release capsules (Bayer Plc)
bd3c.	BB	Atenolol	25	TENORMIN 25 tabs
bd3f.	BB	Atenolol	50	ATENIX tabs 50mg
bd3g.	BB	Atenolol	100	ATENIX tabs 100mg
bd3h.	BB	Atenolol	50	Totamol Tablets 50mg
bd3j.	BB	Atenolol	25	ATENOLOL tabs 25mg
bd3k.	BB	Atenolol	25	TOTAMOL tabs 25mg
bd3x.	BB	Atenolol	25	ATENOLOL sugar free syrup 25mg/5ml
bd3y.	BB	Atenolol	0.5	ATENOLOL INJ 500mcg
bd3z.	BB	Atenolol	25	ATENIX tabs 25mg
bd41.	BB	Betaxolol	20	KERLONE TAB 20
bd4z.	BB	Betaxolol	20	BETAXOLOL HYDROCHLOR TAB 20
bd51.	BB	Labetalol	100	LABETALOL HCl tabs 100mg
bd52.	BB	Labetalol	200	LABETALOL HCl tabs 200mg
bd53.	BB	Labetalol	400	LABETALOL HCl tabs 400mg
bd57.	BB	Labetalol	50	TRANDATE tabs 50mg
bd58.	BB	Labetalol	100	TRANDATE TAB 100mg
bd59.	BB	Labetalol	200	TRANDATE tabs 200mg
bd5a.	BB	Labetalol	400	Trandate 400mg tablets (Focus Pharmaceuticals Ltd)
bd5b.	BB	Labetalol	100	TRANDATE INJ 100mg
bd5v.	BB	Labetalol	50	LABETALOL HCl tabs 50mg
bd61.	BB	Metoprolol	50	BETALOC TAB 50
bd62.	BB	Metoprolol	100	BETALOC tabs 100mg
bd64.	BB	Metoprolol	200	BETALOC SA DURULE 200mg
bd66.	BB	Metoprolol	100	LOPRESOR TAB 100
bd6w.	BB	Metoprolol	100	METOPROLOL TARTRATE tabs 100mg
bd6x.	BB	Metoprolol	50	METOPROLOL TARTRATE tabs 50mg
bd6z.	BB	Metoprolol	200	METOPROLOL TARTRATE mr tab 200mg
bd71.	BB	Nadolol	40	CORGARD TAB 40
bd72.	BB	Nadolol	80	CORGARD tabs 80mg
bd7y.	BB	Nadolol	40	NADOLOL tabs 40mg
bd7z.	BB	Nadolol	80	NADOLOL tabs 80mg
bd81.	BB	Oxprenolol	20	OXPRENOLOL tabs 20mg
bd82.	BB	Oxprenolol	40	OXPRENOLOL tabs 40mg
bd83.	BB	Oxprenolol	80	OXPRENOLOL tabs 80mg
bd84.	BB	Oxprenolol	160	OXPRENOLOL tabs 160mg
bd8e.	BB	Oxprenolol	160	SLOW-TRASICOR TAB 160
bd8f.	BB	Oxprenolol	20	TRASICOR 20mg tabs
bd8g.	BB	Oxprenolol	40	TRASICOR TABLETS 40 MG
bd8h.	BB	Oxprenolol	80	trasicor 80mg tablets
bd8i.	BB	Oxprenolol	160	TRASICOR 160mg tabs
bd8u.	BB	Oxprenolol	160	OXPRENOLOL mr tab 160mg
bda1.	BB	Pindolol	5	visken 5mg tablets
bda2.	BB	Pindolol	15	VISKEN 15mg tabs
bday.	BB	Pindolol	15	PINDOLOL tabs 5mg
bdaz.	BB	Pindolol	15	PINDOLOL tabs 15mg
bdc1.	BB	Sotalol	40	BETA-CARDONE tabs 40mg
bdc2.	BB	Sotalol	80	BETA-CARDONE tabs 80mg
bdc4.	BB	Sotalol	80	SOTACOR TABS 80MG
bdc5.	BB	Sotalol	160	SOTACOR CALENDAR PAC TAB 160
bdcu.	BB	Sotalol	40	SOTALOL tabs 40mg
bdcv.	BB	Sotalol	80	SOTALOL tabs 80mg
bdcw.	BB	Sotalol	200	SOTALOL TABLETS 200 MG
bdcx.	BB	Sotalol	160	SOTALOL tabs 160mg
bdd1.	BB	Timolol	10	BETIM tabs 10mg
bdd2.	BB	Timolol	10	BLOCADREN TAB 10
bddz.	BB	Timolol	10	TIMOLOL MALEATE tabs 10mg
bde7.	BB	Atenolol	50	KALTEN caps
bde7.	DIUR_THI	Hydrochlorothiazide	25	KALTEN caps
bde7.	DIUR_POT	Amiloride	2.5	KALTEN caps
bdea.	BB	Timolol	10	MODUCREN TAB
bdea.	DIUR_THI	Hydrochlorothiazide	25	MODUCREN TAB
bdea.	DIUR_POT	Amiloride	2.5	MODUCREN TAB
bdeb.	BB	Timolol	10	PRESTIM tabs
bdeb.	DIUR_THI	Bendroflumethiazide	2.5	PRESTIM tabs
bded.	BB	Acebutolol	200	SECADREX TABLETS
bded.	DIUR_THI	Hydrochlorothiazide	12.5	SECADREX TABLETS
bdeg.	BB	Atenolol	50	TENORET-50
bdeg.	DIUR_THI	Chlortalidone	12.5	TENORET-50
bdeh.	BB	Atenolol	100	Tenoretic Tablets 100 mg + 25 mg
bdeh.	DIUR_THI	Chlortalidone	25	Tenoretic Tablets 100 mg + 25 mg
bdej.	BB	Oxprenolol	160	TRASIDREX tabs 160mg + 0.25mg
bdej.	DIUR_THI	Cyclopenthiazide	0.25	TRASIDREX tabs 160mg + 0.25mg
bdek.	BB	Pindolol	10	VISKALDIX tabs 10mg + 5mg
bdek.	DIUR_THI	Clopamide	5	VISKALDIX tabs 10mg + 5mg
bdem.	BB	Atenolol	50	ATENOLOL 50MG/CHLORTHALIDONE 12.5MG TAB
bdem.	DIUR_THI	Chlortalidone	12.5	ATENOLOL 50MG/CHLORTHALIDONE 12.5MG TAB
bden.	BB	Atenolol	100	ATENOLOL + CHLORTALIDONE tabs 100mg+25mg
bden.	DIUR_THI	Chlortalidone	25	ATENOLOL + CHLORTALIDONE tabs 100mg+25mg
bdes.	BB	Atenolol	50	BETA-ADALAT caps 50mg + 20mg
bdes.	CCB	Nifedipine	20	BETA-ADALAT caps 50mg + 20mg
bdet.	BB	Atenolol	50	TENIF caps 50mg + 20mg
bdet.	CCB	Nifedipine	20	TENIF caps 50mg + 20mg
bdeu.	BB	Oxprenolol	160	OXPRENOLOL 160MG/CYCLOPENTHIAZ.250MCG SR TAB
bdeu.	DIUR_THI	Cyclopenthiazide	0.25	OXPRENOLOL 160MG/CYCLOPENTHIAZ.250MCG SR TAB
bdey.	BB	Atenolol	50	ATENOLOL+CO-AMILOZIDE 50mg/2.5mg/25mg capsules
bdey.	DIUR_THI	Hydrochlorothiazide	25	ATENOLOL+CO-AMILOZIDE 50mg/2.5mg/25mg capsules
bdey.	DIUR_POT	Amiloride	2.5	ATENOLOL+CO-AMILOZIDE 50mg/2.5mg/25mg capsules
bdez.	BB	Atenolol	50	ATENOLOL + NIFEDIPINE caps 50mg + 20mg
bdez.	CCB	Nifedipine	20	ATENOLOL + NIFEDIPINE caps 50mg + 20mg
bdf..	BB	Bisoprolol	5	BISOPROLOL oral susp 5mg/5ml
bdf1.	BB	Bisoprolol	5	BISOPROLOL tabs 5mg
bdf2.	BB	Bisoprolol	10	BISOPROLOL tabs 10mg
bdf3.	BB	Bisoprolol	5	MONOCOR TAB 5
bdf4.	BB	Bisoprolol	10	MONOCOR TAB 10
bdf5.	BB	Bisoprolol	5	EMCOR LS tabs 5mg
bdf6.	BB	Bisoprolol	10	EMCOR TAB 10mg
bdf7.	BB	Bisoprolol	10	MONOZIDE 10 TAB 10mg
bdf7.	DIUR_THI	Hydrochlorothiazide	10	MONOZIDE 10 TAB 10mg
bdf8.	BB	Bisoprolol	10	BISOPROLOL & HYDROCHLOROTHIAZIDE tabs 10mg + 6.25mg
bdf8.	DIUR_THI	Hydrochlorothiazide	6.25	BISOPROLOL & HYDROCHLOROTHIAZIDE tabs 10mg + 6.25mg
bdf9.	BB	Bisoprolol	1.25	CARDICOR tabs 1.25mg
bdfA.	BB	Bisoprolol	2.5	CARDICOR tabs 2.5mg
bdfB.	BB	Bisoprolol	3.75	Cardicor 3.75mg tablets (Merck Serono Ltd)
bdfC.	BB	Bisoprolol	5	CARDICOR tabs 5mg
bdfD.	BB	Bisoprolol	7.5	Cardicor 7.5mg tablets (Merck Serono Ltd)
bdfE.	BB	Bisoprolol	10	CARDICOR tabs 10mg
bdfL.	BB	Bisoprolol	1.25	CONGESCOR tabs 1.25mg
bdfM.	BB	Bisoprolol	2.5	Congescor 2.5mg tablets (Tillomed Laboratories Ltd)
bdfw.	BB	Bisoprolol	1.25	BISOPROLOL tabs 1.25mg
bdfx.	BB	Bisoprolol	2.5	BISOPROLOL tabs 2.5mg
bdfy.	BB	Bisoprolol	3.75	BISOPROLOL tabs 3.75mg
bdfz.	BB	Bisoprolol	7.5	BISOPROLOL tabs 7.5mg
bdh3.	BB	Metoprolol	190	METOROS TAB 190
bdj1.	BB	Celiprolol	200	CELIPROLOL tabs 200mg
bdj3.	BB	Celiprolol	200	CELECTOL TAB 200
bdj4.	BB	Celiprolol	400	CELIPROLOL tabs 400mg
bdj5.	BB	Celiprolol	400	CELECTOL tabs 400mg
bdl..	BB	Carvedilol	5	Carvedilol 5mg/5ml oral suspension
bdl1.	BB	Carvedilol	12.5	EUCARDIC 12.5 MG TAB 12.5
bdl2.	BB	Carvedilol	25	EUCARDIC 25MG TAB 25
bdl3.	BB	Carvedilol	12.5	CARVEDILOL tabs 12.5mg
bdl4.	BB	Carvedilol	25	CARVEDILOL tabs 25mg
bdl5.	BB	Carvedilol	3.125	CARVEDILOL tabs 3.125mg
bdl6.	BB	Carvedilol	6.25	CARVEDILOL tabs 6.25mg
bdl7.	BB	Carvedilol	3.125	EUCARDIC tabs 3.125mg
bdl8.	BB	Carvedilol	6.25	EUCARDIC tabs 6.25mg
bdm..	BB	Nebivolol	10	Nebivolol 10mg tablets
bdm1.	BB	Nebivolol	5	NEBILET tabs 5mg
bdmy.	BB	Nebivolol	2.5	Nebivolol 2.5mg tablets
bdmz.	BB	Nebivolol	5	NEBIVOLOL tabs 5mg
bdn1.	BB	Propranolol	50	SYPROL oral soln 50mg/5ml
bdn2.	BB	Propranolol	80	BEDRANOL mr cap 80mg
bdn6.	BB	Propranolol	40	Propranolol 40mg/5ml oral solution sugar free
bh13.	ALPHA	Indoramin	20	DORALESE TILTAB tabs 20mg
bh14.	ALPHA	Indoramin	20	INDORAMIN tabs 20mg
bh1y.	ALPHA	Indoramin	25	INDORAMIN tabs 25mg
bh1z.	ALPHA	Indoramin	50	INDORAMIN tabs 50mg
bh2..	ALPHA	Phenoxybenzamine	10	PHENOXYBENZAMINE oral susp 10mg/5ml
bh2y.	ALPHA	Phenoxybenzamine	10	Phenoxybenzamine Hydrochloride Capsules 10 mg
bh31.	ALPHA	Phentolamin	10	ROGITINE INJ 10mg
bh3z.	ALPHA	Phentolamin	10	PHENTOLAMINE MESYLAT INJ 10
bh41.	ALPHA	Prazosin	0.5	HYPOVASE TAB 500
bh42.	ALPHA	Prazosin	1	HYPOVASE TAB 1
bh43.	ALPHA	Prazosin	2	HYPOVASE TAB 2
bh44.	ALPHA	Prazosin	5	HYPOVASE TAB 5
bh45.	ALPHA	Prazosin		HYPOVASE BD starter pack
